cx,cy
12.2500,0.0000
12.2495,0.0807
12.2481,0.1614
12.2458,0.2421
12.2425,0.3228
12.2383,0.4035
12.2332,0.4841
12.2272,0.5647
12.2202,0.6452
12.2122,0.7257
12.2034,0.8062
12.1936,0.8866
12.1829,0.9669
12.1713,1.0471
12.1587,1.1273
12.1452,1.2074
12.1308,1.2874
12.1154,1.3672
12.0992,1.4470
12.0820,1.5267
12.0639,1.6062
12.0449,1.6857
12.0249,1.7650
12.0041,1.8442
11.9823,1.9232
11.9596,2.0021
11.9360,2.0808
11.9115,2.1594
11.8861,2.2378
11.8598,2.3160
11.8326,2.3941
11.8045,2.4720
11.7755,2.5496
11.7455,2.6271
11.7147,2.7044
11.6830,2.7815
11.6504,2.8584
11.6170,2.9351
11.5826,3.0115
11.5474,3.0877
11.5112,3.1637
11.4742,3.2394
11.4364,3.3149
11.3976,3.3901
11.3580,3.4651
11.3175,3.5398
11.2762,3.6143
11.2340,3.6884
11.1909,3.7623
11.1470,3.8359
11.1023,3.9092
11.0567,3.9822
11.0102,4.0549
10.9629,4.1273
10.9148,4.1994
10.8659,4.2712
10.8161,4.3426
10.7655,4.4137
10.7141,4.4845
10.6619,4.5549
10.6088,4.6250
10.5550,4.6947
10.5003,4.7641
10.4448,4.8331
10.3886,4.9018
10.3315,4.9700
10.2737,5.0379
10.2151,5.1054
10.1557,5.1725
10.0955,5.2393
10.0346,5.3056
9.9729,5.3715
9.9105,5.4370
9.8472,5.5021
9.7833,5.5668
9.7186,5.6310
9.6531,5.6949
9.5869,5.7583
9.5200,5.8212
9.4524,5.8837
9.3840,5.9458
9.3150,6.0074
9.2452,6.0685
9.1747,6.1292
9.1035,6.1895
9.0316,6.2492
8.9591,6.3085
8.8858,6.3673
8.8119,6.4256
8.7373,6.4834
8.6621,6.5407
8.5861,6.5976
8.5096,6.6539
8.4323,6.7097
8.3545,6.7650
8.2760,6.8198
8.1968,6.8741
8.1171,6.9278
8.0367,6.9811
7.9557,7.0338
7.8741,7.0859
7.7920,7.1375
7.7092,7.1886
7.6258,7.2391
7.5419,7.2891
7.4573,7.3385
7.3722,7.3874
7.2866,7.4357
7.2004,7.4834
7.1136,7.5306
7.0263,7.5772
6.9385,7.6232
6.8501,7.6686
6.7612,7.7134
6.6718,7.7577
6.5819,7.8014
6.4915,7.8444
6.4006,7.8869
6.3092,7.9288
6.2173,7.9701
6.1250,8.0107
6.0322,8.0508
5.9389,8.0902
5.8452,8.1291
5.7510,8.1673
5.6564,8.2049
5.5614,8.2418
5.4659,8.2781
5.3700,8.3138
5.2738,8.3489
5.1771,8.3833
5.0800,8.4171
4.9825,8.4503
4.8847,8.4828
4.7865,8.5147
4.6879,8.5459
4.5889,8.5765
4.4896,8.6064
4.3900,8.6356
4.2900,8.6642
4.1897,8.6922
4.0891,8.7194
3.9882,8.7460
3.8870,8.7720
3.7855,8.7973
3.6836,8.8219
3.5816,8.8458
3.4792,8.8691
3.3766,8.8917
3.2737,8.9136
3.1705,8.9348
3.0672,8.9554
2.9635,8.9752
2.8597,8.9944
2.7557,9.0129
2.6514,9.0307
2.5469,9.0479
2.4423,9.0643
2.3374,9.0801
2.2324,9.0951
2.1272,9.1095
2.0218,9.1231
1.9163,9.1361
1.8107,9.1484
1.7049,9.1600
1.5989,9.1709
1.4929,9.1811
1.3867,9.1905
1.2805,9.1993
1.1741,9.2074
1.0677,9.2148
0.9611,9.2215
0.8545,9.2275
0.7478,9.2327
0.6411,9.2373
0.5343,9.2412
0.4275,9.2444
0.3207,9.2468
0.2138,9.2486
0.1069,9.2496
0.0000,9.2500
-0.1069,9.2496
-0.2138,9.2486
-0.3207,9.2468
-0.4275,9.2444
-0.5343,9.2412
-0.6411,9.2373
-0.7478,9.2327
-0.8545,9.2275
-0.9611,9.2215
-1.0677,9.2148
-1.1741,9.2074
-1.2805,9.1993
-1.3867,9.1905
-1.4929,9.1811
-1.5989,9.1709
-1.7049,9.1600
-1.8107,9.1484
-1.9163,9.1361
-2.0218,9.1231
-2.1272,9.1095
-2.2324,9.0951
-2.3374,9.0801
-2.4423,9.0643
-2.5469,9.0479
-2.6514,9.0307
-2.7557,9.0129
-2.8597,8.9944
-2.9635,8.9752
-3.0672,8.9554
-3.1705,8.9348
-3.2737,8.9136
-3.3766,8.8917
-3.4792,8.8691
-3.5816,8.8458
-3.6836,8.8219
-3.7855,8.7973
-3.8870,8.7720
-3.9882,8.7460
-4.0891,8.7194
-4.1897,8.6922
-4.2900,8.6642
-4.3900,8.6356
-4.4896,8.6064
-4.5889,8.5765
-4.6879,8.5459
-4.7865,8.5147
-4.8847,8.4828
-4.9825,8.4503
-5.0800,8.4171
-5.1771,8.3833
-5.2738,8.3489
-5.3700,8.3138
-5.4659,8.2781
-5.5614,8.2418
-5.6564,8.2049
-5.7510,8.1673
-5.8452,8.1291
-5.9389,8.0902
-6.0322,8.0508
-6.1250,8.0107
-6.2173,7.9701
-6.3092,7.9288
-6.4006,7.8869
-6.4915,7.8444
-6.5819,7.8014
-6.6718,7.7577
-6.7612,7.7134
-6.8501,7.6686
-6.9385,7.6232
-7.0263,7.5772
-7.1136,7.5306
-7.2004,7.4834
-7.2866,7.4357
-7.3722,7.3874
-7.4573,7.3385
-7.5419,7.2891
-7.6258,7.2391
-7.7092,7.1886
-7.7920,7.1375
-7.8741,7.0859
-7.9557,7.0338
-8.0367,6.9811
-8.1171,6.9278
-8.1968,6.8741
-8.2760,6.8198
-8.3545,6.7650
-8.4323,6.7097
-8.5096,6.6539
-8.5861,6.5976
-8.6621,6.5407
-8.7373,6.4834
-8.8119,6.4256
-8.8858,6.3673
-8.9591,6.3085
-9.0316,6.2492
-9.1035,6.1895
-9.1747,6.1292
-9.2452,6.0685
-9.3150,6.0074
-9.3840,5.9458
-9.4524,5.8837
-9.5200,5.8212
-9.5869,5.7583
-9.6531,5.6949
-9.7186,5.6310
-9.7833,5.5668
-9.8472,5.5021
-9.9105,5.4370
-9.9729,5.3715
-10.0346,5.3056
-10.0955,5.2393
-10.1557,5.1725
-10.2151,5.1054
-10.2737,5.0379
-10.3315,4.9700
-10.3886,4.9018
-10.4448,4.8331
-10.5003,4.7641
-10.5550,4.6947
-10.6088,4.6250
-10.6619,4.5549
-10.7141,4.4845
-10.7655,4.4137
-10.8161,4.3426
-10.8659,4.2712
-10.9148,4.1994
-10.9629,4.1273
-11.0102,4.0549
-11.0567,3.9822
-11.1023,3.9092
-11.1470,3.8359
-11.1909,3.7623
-11.2340,3.6884
-11.2762,3.6143
-11.3175,3.5398
-11.3580,3.4651
-11.3976,3.3901
-11.4364,3.3149
-11.4742,3.2394
-11.5112,3.1637
-11.5474,3.0877
-11.5826,3.0115
-11.6170,2.9351
-11.6504,2.8584
-11.6830,2.7815
-11.7147,2.7044
-11.7455,2.6271
-11.7755,2.5496
-11.8045,2.4720
-11.8326,2.3941
-11.8598,2.3160
-11.8861,2.2378
-11.9115,2.1594
-11.9360,2.0808
-11.9596,2.0021
-11.9823,1.9232
-12.0041,1.8442
-12.0249,1.7650
-12.0449,1.6857
-12.0639,1.6062
-12.0820,1.5267
-12.0992,1.4470
-12.1154,1.3672
-12.1308,1.2874
-12.1452,1.2074
-12.1587,1.1273
-12.1713,1.0471
-12.1829,0.9669
-12.1936,0.8866
-12.2034,0.8062
-12.2122,0.7257
-12.2202,0.6452
-12.2272,0.5647
-12.2332,0.4841
-12.2383,0.4035
-12.2425,0.3228
-12.2458,0.2421
-12.2481,0.1614
-12.2495,0.0807
-12.2500,0.0000
-12.2495,-0.0807
-12.2481,-0.1614
-12.2458,-0.2421
-12.2425,-0.3228
-12.2383,-0.4035
-12.2332,-0.4841
-12.2272,-0.5647
-12.2202,-0.6452
-12.2122,-0.7257
-12.2034,-0.8062
-12.1936,-0.8866
-12.1829,-0.9669
-12.1713,-1.0471
-12.1587,-1.1273
-12.1452,-1.2074
-12.1308,-1.2874
-12.1154,-1.3672
-12.0992,-1.4470
-12.0820,-1.5267
-12.0639,-1.6062
-12.0449,-1.6857
-12.0249,-1.7650
-12.0041,-1.8442
-11.9823,-1.9232
-11.9596,-2.0021
-11.9360,-2.0808
-11.9115,-2.1594
-11.8861,-2.2378
-11.8598,-2.3160
-11.8326,-2.3941
-11.8045,-2.4720
-11.7755,-2.5496
-11.7455,-2.6271
-11.7147,-2.7044
-11.6830,-2.7815
-11.6504,-2.8584
-11.6170,-2.9351
-11.5826,-3.0115
-11.5474,-3.0877
-11.5112,-3.1637
-11.4742,-3.2394
-11.4364,-3.3149
-11.3976,-3.3901
-11.3580,-3.4651
-11.3175,-3.5398
-11.2762,-3.6143
-11.2340,-3.6884
-11.1909,-3.7623
-11.1470,-3.8359
-11.1023,-3.9092
-11.0567,-3.9822
-11.0102,-4.0549
-10.9629,-4.1273
-10.9148,-4.1994
-10.8659,-4.2712
-10.8161,-4.3426
-10.7655,-4.4137
-10.7141,-4.4845
-10.6619,-4.5549
-10.6088,-4.6250
-10.5550,-4.6947
-10.5003,-4.7641
-10.4448,-4.8331
-10.3886,-4.9018
-10.3315,-4.9700
-10.2737,-5.0379
-10.2151,-5.1054
-10.1557,-5.1725
-10.0955,-5.2393
-10.0346,-5.3056
-9.9729,-5.3715
-9.9105,-5.4370
-9.8472,-5.5021
-9.7833,-5.5668
-9.7186,-5.6310
-9.6531,-5.6949
-9.5869,-5.7583
-9.5200,-5.8212
-9.4524,-5.8837
-9.3840,-5.9458
-9.3150,-6.0074
-9.2452,-6.0685
-9.1747,-6.1292
-9.1035,-6.1895
-9.0316,-6.2492
-8.9591,-6.3085
-8.8858,-6.3673
-8.8119,-6.4256
-8.7373,-6.4834
-8.6621,-6.5407
-8.5861,-6.5976
-8.5096,-6.6539
-8.4323,-6.7097
-8.3545,-6.7650
-8.2760,-6.8198
-8.1968,-6.8741
-8.1171,-6.9278
-8.0367,-6.9811
-7.9557,-7.0338
-7.8741,-7.0859
-7.7920,-7.1375
-7.7092,-7.1886
-7.6258,-7.2391
-7.5419,-7.2891
-7.4573,-7.3385
-7.3722,-7.3874
-7.2866,-7.4357
-7.2004,-7.4834
-7.1136,-7.5306
-7.0263,-7.5772
-6.9385,-7.6232
-6.8501,-7.6686
-6.7612,-7.7134
-6.6718,-7.7577
-6.5819,-7.8014
-6.4915,-7.8444
-6.4006,-7.8869
-6.3092,-7.9288
-6.2173,-7.9701
-6.1250,-8.0107
-6.0322,-8.0508
-5.9389,-8.0902
-5.8452,-8.1291
-5.7510,-8.1673
-5.6564,-8.2049
-5.5614,-8.2418
-5.4659,-8.2781
-5.3700,-8.3138
-5.2738,-8.3489
-5.1771,-8.3833
-5.0800,-8.4171
-4.9825,-8.4503
-4.8847,-8.4828
-4.7865,-8.5147
-4.6879,-8.5459
-4.5889,-8.5765
-4.4896,-8.6064
-4.3900,-8.6356
-4.2900,-8.6642
-4.1897,-8.6922
-4.0891,-8.7194
-3.9882,-8.7460
-3.8870,-8.7720
-3.7855,-8.7973
-3.6836,-8.8219
-3.5816,-8.8458
-3.4792,-8.8691
-3.3766,-8.8917
-3.2737,-8.9136
-3.1705,-8.9348
-3.0672,-8.9554
-2.9635,-8.9752
-2.8597,-8.9944
-2.7557,-9.0129
-2.6514,-9.0307
-2.5469,-9.0479
-2.4423,-9.0643
-2.3374,-9.0801
-2.2324,-9.0951
-2.1272,-9.1095
-2.0218,-9.1231
-1.9163,-9.1361
-1.8107,-9.1484
-1.7049,-9.1600
-1.5989,-9.1709
-1.4929,-9.1811
-1.3867,-9.1905
-1.2805,-9.1993
-1.1741,-9.2074
-1.0677,-9.2148
-0.9611,-9.2215
-0.8545,-9.2275
-0.7478,-9.2327
-0.6411,-9.2373
-0.5343,-9.2412
-0.4275,-9.2444
-0.3207,-9.2468
-0.2138,-9.2486
-0.1069,-9.2496
-0.0000,-9.2500
0.1069,-9.2496
0.2138,-9.2486
0.3207,-9.2468
0.4275,-9.2444
0.5343,-9.2412
0.6411,-9.2373
0.7478,-9.2327
0.8545,-9.2275
0.9611,-9.2215
1.0677,-9.2148
1.1741,-9.2074
1.2805,-9.1993
1.3867,-9.1905
1.4929,-9.1811
1.5989,-9.1709
1.7049,-9.1600
1.8107,-9.1484
1.9163,-9.1361
2.0218,-9.1231
2.1272,-9.1095
2.2324,-9.0951
2.3374,-9.0801
2.4423,-9.0643
2.5469,-9.0479
2.6514,-9.0307
2.7557,-9.0129
2.8597,-8.9944
2.9635,-8.9752
3.0672,-8.9554
3.1705,-8.9348
3.2737,-8.9136
3.3766,-8.8917
3.4792,-8.8691
3.5816,-8.8458
3.6836,-8.8219
3.7855,-8.7973
3.8870,-8.7720
3.9882,-8.7460
4.0891,-8.7194
4.1897,-8.6922
4.2900,-8.6642
4.3900,-8.6356
4.4896,-8.6064
4.5889,-8.5765
4.6879,-8.5459
4.7865,-8.5147
4.8847,-8.4828
4.9825,-8.4503
5.0800,-8.4171
5.1771,-8.3833
5.2738,-8.3489
5.3700,-8.3138
5.4659,-8.2781
5.5614,-8.2418
5.6564,-8.2049
5.7510,-8.1673
5.8452,-8.1291
5.9389,-8.0902
6.0322,-8.0508
6.1250,-8.0107
6.2173,-7.9701
6.3092,-7.9288
6.4006,-7.8869
6.4915,-7.8444
6.5819,-7.8014
6.6718,-7.7577
6.7612,-7.7134
6.8501,-7.6686
6.9385,-7.6232
7.0263,-7.5772
7.1136,-7.5306
7.2004,-7.4834
7.2866,-7.4357
7.3722,-7.3874
7.4573,-7.3385
7.5419,-7.2891
7.6258,-7.2391
7.7092,-7.1886
7.7920,-7.1375
7.8741,-7.0859
7.9557,-7.0338
8.0367,-6.9811
8.1171,-6.9278
8.1968,-6.8741
8.2760,-6.8198
8.3545,-6.7650
8.4323,-6.7097
8.5096,-6.6539
8.5861,-6.5976
8.6621,-6.5407
8.7373,-6.4834
8.8119,-6.4256
8.8858,-6.3673
8.9591,-6.3085
9.0316,-6.2492
9.1035,-6.1895
9.1747,-6.1292
9.2452,-6.0685
9.3150,-6.0074
9.3840,-5.9458
9.4524,-5.8837
9.5200,-5.8212
9.5869,-5.7583
9.6531,-5.6949
9.7186,-5.6310
9.7833,-5.5668
9.8472,-5.5021
9.9105,-5.4370
9.9729,-5.3715
10.0346,-5.3056
10.0955,-5.2393
10.1557,-5.1725
10.2151,-5.1054
10.2737,-5.0379
10.3315,-4.9700
10.3886,-4.9018
10.4448,-4.8331
10.5003,-4.7641
10.5550,-4.6947
10.6088,-4.6250
10.6619,-4.5549
10.7141,-4.4845
10.7655,-4.4137
10.8161,-4.3426
10.8659,-4.2712
10.9148,-4.1994
10.9629,-4.1273
11.0102,-4.0549
11.0567,-3.9822
11.1023,-3.9092
11.1470,-3.8359
11.1909,-3.7623
11.2340,-3.6884
11.2762,-3.6143
11.3175,-3.5398
11.3580,-3.4651
11.3976,-3.3901
11.4364,-3.3149
11.4742,-3.2394
11.5112,-3.1637
11.5474,-3.0877
11.5826,-3.0115
11.6170,-2.9351
11.6504,-2.8584
11.6830,-2.7815
11.7147,-2.7044
11.7455,-2.6271
11.7755,-2.5496
11.8045,-2.4720
11.8326,-2.3941
11.8598,-2.3160
11.8861,-2.2378
11.9115,-2.1594
11.9360,-2.0808
11.9596,-2.0021
11.9823,-1.9232
12.0041,-1.8442
12.0249,-1.7650
12.0449,-1.6857
12.0639,-1.6062
12.0820,-1.5267
12.0992,-1.4470
12.1154,-1.3672
12.1308,-1.2874
12.1452,-1.2074
12.1587,-1.1273
12.1713,-1.0471
12.1829,-0.9669
12.1936,-0.8866
12.2034,-0.8062
12.2122,-0.7257
12.2202,-0.6452
12.2272,-0.5647
12.2332,-0.4841
12.2383,-0.4035
12.2425,-0.3228
12.2458,-0.2421
12.2481,-0.1614
12.2495,-0.0807
