type,alpha_r,F_yr
speed_3000_steer_0_test_1,0.884,0.061
speed_3000_steer_0_test_2,1.515,0.008
speed_3000_steer_0.3_test_1,1.525,-0.259
speed_3000_steer_0.3_test_2,1.416,-0.323
speed_3000_steer_0.7_test_1,1.530,0.003
speed_3000_steer_0.7_test_2,1.520,-0.525
speed_3000_steer_1.0_test_1,1.026,-0.612
speed_3000_steer_1.0_test_2,1.571,-0.010
speed_6000_steer_0_test_1,1.571,1.397
speed_6000_steer_0_test_2,-1.571,1.918
speed_6000_steer_0.3_test_1,1.233,0.673
speed_6000_steer_0.3_test_2,-1.571,0.886
speed_6000_steer_0.7_test_1,1.571,-1.08
speed_6000_steer_0.7_test_2,1.571,-1.08
speed_6000_steer_1.0_test_1,-1.571,-1.645
speed_6000_steer_1.0_test_2,-1.571,-4.403
speed_10000_steer_0.0_test_1,1.349,4.381
speed_10000_steer_0.0_test_2,1.284,4.634
speed_10000_steer_1.0_test_1,1.571,-4.565
